Date,Day of Week,Visits,Year,xmas,Class,days from christmas,spring,break,holiday,snowfall,snowclass,numsnowclass,weekday,Friday,Saturday,Sunday,Monday,Tuesday,Wednesday,Thursday
11/20/13,Wednesday,645,1,0,2,28,0,0,0,0,None,0,1,0,0,0,0,0,1,0
11/21/13,Thursday,317,1,0,1,27,0,0,0,0,None,0,1,0,0,0,0,0,0,1
11/22/13,Friday,303,1,0,1,26,0,0,0,0,None,0,0,1,0,0,0,0,0,0
11/23/13,Saturday,1160,1,0,3,25,0,0,0,0,None,0,0,0,1,0,0,0,0,0
11/24/13,Sunday,822,1,0,2,24,0,0,0,0,None,0,0,0,0,1,0,0,0,0
12/2/13,Monday,496,1,0,1,23,0,0,0,15,High,5,1,0,0,0,1,0,0,0
12/3/13,Tuesday,544,1,0,2,22,0,0,0,3,Low,1,1,0,0,0,0,1,0,0
12/4/13,Wednesday,454,1,0,1,21,0,0,0,0,None,0,1,0,0,0,0,0,1,0
12/5/13,Thursday,397,1,0,1,20,0,0,0,0,None,0,1,0,0,0,0,0,0,1
12/6/13,Friday,345,1,0,1,19,0,0,0,0,None,0,0,1,0,0,0,0,0,0
12/7/13,Saturday,1772,1,0,3,18,0,0,0,0,None,0,0,0,1,0,0,0,0,0
12/8/13,Sunday,1603,1,0,3,17,0,0,0,0,None,0,0,0,0,1,0,0,0,0
12/9/13,Monday,215,1,0,1,16,0,0,0,0,None,0,1,0,0,0,1,0,0,0
12/10/13,Tuesday,190,1,0,1,15,0,0,0,0,None,0,1,0,0,0,0,1,0,0
12/11/13,Wednesday,310,1,0,1,14,0,0,0,0,None,0,1,0,0,0,0,0,1,0
12/12/13,Thursday,353,1,0,1,13,0,0,0,0,None,0,1,0,0,0,0,0,0,1
12/13/13,Friday,741,1,0,2,12,0,0,0,0,None,0,0,1,0,0,0,0,0,0
12/14/13,Saturday,2698,1,1,3,11,0,1,0,1,Low,1,0,0,1,0,0,0,0,0
12/15/13,Sunday,1775,1,1,3,10,0,1,0,0,None,0,0,0,0,1,0,0,0,0
12/16/13,Monday,551,1,1,2,9,0,1,0,0,None,0,1,0,0,0,1,0,0,0
12/17/13,Tuesday,320,1,1,1,8,0,1,0,0,None,0,1,0,0,0,0,1,0,0
12/18/13,Wednesday,362,1,1,1,7,0,1,0,0,None,0,1,0,0,0,0,0,1,0
12/19/13,Thursday,586,1,1,2,6,0,1,0,1,Low,1,1,0,0,0,0,0,0,1
12/20/13,Friday,893,1,1,2,5,0,1,0,1,Low,1,0,1,0,0,0,0,0,0
12/21/13,Saturday,2388,1,1,3,4,0,1,0,2,Low,1,0,0,1,0,0,0,0,0
12/22/13,Sunday,1361,1,1,3,3,0,1,0,2,Low,1,0,0,0,1,0,0,0,0
12/23/13,Monday,1088,1,1,3,2,0,1,0,1,Low,1,1,0,0,0,1,0,0,0
12/24/13,Tuesday,2117,1,1,3,1,0,1,0,3,Low,1,1,0,0,0,0,1,0,0
12/25/13,Wednesday,2053,1,1,3,0,0,1,0,0,None,0,1,0,0,0,0,0,1,0
12/26/13,Thursday,2429,1,1,3,1,0,1,0,0,None,0,1,0,0,0,0,0,0,1
12/27/13,Friday,2811,1,1,3,2,0,1,0,1,Low,1,0,1,0,0,0,0,0,0
12/28/13,Saturday,3649,1,1,3,3,0,1,0,0,None,0,0,0,1,0,0,0,0,0
12/29/13,Sunday,2200,1,1,3,4,0,1,0,0,None,0,0,0,0,1,0,0,0,0
12/30/13,Monday,1944,1,1,3,5,0,1,0,0,None,0,1,0,0,0,1,0,0,0
12/31/13,Tuesday,1856,1,1,3,6,0,1,0,2,Low,1,1,0,0,0,0,1,0,0
1/1/14,Wednesday,2550,1,1,3,7,0,1,1,0,None,0,1,0,0,0,0,0,1,0
1/2/14,Thursday,1132,1,1,3,8,0,1,0,0,None,0,1,0,0,0,0,0,0,1
1/3/14,Friday,2288,1,1,3,9,0,1,0,4,MediumLow,2,0,1,0,0,0,0,0,0
1/4/14,Saturday,5633,1,1,3,10,0,1,0,0,None,0,0,0,1,0,0,0,0,0
1/5/14,Sunday,3299,1,1,3,11,0,1,0,0,None,0,0,0,0,1,0,0,0,0
1/6/14,Monday,367,1,1,1,12,0,1,0,0,None,0,1,0,0,0,1,0,0,0
1/7/14,Tuesday,324,1,1,1,13,0,1,0,0,None,0,1,0,0,0,0,1,0,0
1/8/14,Wednesday,376,1,1,1,14,0,1,0,0,None,0,1,0,0,0,0,0,1,0
1/9/14,Thursday,1245,1,1,3,15,0,1,0,8,MediumHigh,4,1,0,0,0,0,0,0,1
1/10/14,Friday,2238,1,1,3,16,0,1,0,1,Low,1,0,1,0,0,0,0,0,0
1/11/14,Saturday,3106,1,1,3,17,0,1,0,14,High,5,0,0,1,0,0,0,0,0
1/12/14,Sunday,6195,1,1,3,18,0,1,0,8,MediumHigh,4,0,0,0,1,0,0,0,0
1/13/14,Monday,1088,1,0,3,19,0,0,0,0,None,0,1,0,0,0,1,0,0,0
1/14/14,Tuesday,986,1,0,2,20,0,0,0,0,None,0,1,0,0,0,0,1,0,0
1/15/14,Wednesday,1392,1,0,3,21,0,0,0,0,None,0,1,0,0,0,0,0,1,0
1/16/14,Thursday,906,1,0,2,22,0,0,0,0,None,0,1,0,0,0,0,0,0,1
1/17/14,Friday,1932,1,0,3,23,0,0,0,0,None,0,0,1,0,0,0,0,0,0
1/18/14,Saturday,5429,1,0,3,24,0,0,0,0,None,0,0,0,1,0,0,0,0,0
1/19/14,Sunday,3396,1,0,3,25,0,0,0,0,None,0,0,0,0,1,0,0,0,0
1/20/14,Monday,2766,1,0,3,26,0,0,1,0,None,0,1,0,0,0,1,0,0,0
1/21/14,Tuesday,501,1,0,2,27,0,0,0,0,None,0,1,0,0,0,0,1,0,0
1/22/14,Wednesday,689,1,0,2,28,0,0,0,0,None,0,1,0,0,0,0,0,1,0
1/23/14,Thursday,679,1,0,2,29,0,0,0,0,None,0,1,0,0,0,0,0,0,1
1/24/14,Friday,1653,1,0,3,30,0,0,0,0,None,0,0,1,0,0,0,0,0,0
1/25/14,Saturday,4746,1,0,3,31,0,0,0,0,None,0,0,0,1,0,0,0,0,0
1/26/14,Sunday,4127,1,0,3,32,0,0,0,0,None,0,0,0,0,1,0,0,0,0
1/27/14,Monday,791,1,0,2,33,0,0,0,0,None,0,1,0,0,0,1,0,0,0
1/28/14,Tuesday,368,1,0,1,34,0,0,0,3,Low,1,1,0,0,0,0,1,0,0
1/29/14,Wednesday,591,1,0,2,35,0,0,0,9,MediumHigh,4,1,0,0,0,0,0,1,0
1/30/14,Thursday,1121,1,0,3,36,0,0,0,3,Low,1,1,0,0,0,0,0,0,1
1/31/14,Friday,2615,1,0,3,37,0,0,0,1,Low,1,0,1,0,0,0,0,0,0
2/1/14,Saturday,5741,1,0,3,38,0,0,0,1,Low,1,0,0,1,0,0,0,0,0
2/2/14,Sunday,2832,1,0,3,39,0,0,0,0,None,0,0,0,0,1,0,0,0,0
2/3/14,Monday,824,1,0,2,40,0,0,0,0,None,0,1,0,0,0,1,0,0,0
2/4/14,Tuesday,704,1,0,2,41,0,0,0,0,None,0,1,0,0,0,0,1,0,0
2/5/14,Wednesday,725,1,0,2,42,0,0,0,0,None,0,1,0,0,0,0,0,1,0
2/6/14,Thursday,701,1,0,2,43,0,0,0,1,Low,1,1,0,0,0,0,0,0,1
2/7/14,Friday,1415,1,0,3,44,0,0,0,10,MediumHigh,4,0,1,0,0,0,0,0,0
2/8/14,Saturday,4276,1,0,3,45,0,0,0,9,MediumHigh,4,0,0,1,0,0,0,0,0
2/9/14,Sunday,4689,1,0,3,46,0,0,0,8,MediumHigh,4,0,0,0,1,0,0,0,0
2/10/14,Monday,789,1,0,2,47,0,0,0,1,Low,1,1,0,0,0,1,0,0,0
2/11/14,Tuesday,917,1,0,2,48,0,0,0,12,High,5,1,0,0,0,0,1,0,0
2/12/14,Wednesday,1016,1,0,3,49,0,0,0,8,MediumHigh,4,1,0,0,0,0,0,1,0
2/13/14,Thursday,1355,1,0,3,50,0,0,0,3,Low,1,1,0,0,0,0,0,0,1
2/14/14,Friday,2911,1,0,3,51,0,0,0,4,MediumLow,2,0,1,0,0,0,0,0,0
2/15/14,Saturday,5063,1,0,3,52,0,0,0,38,High,5,0,0,1,0,0,0,0,0
2/16/14,Sunday,6663,1,0,3,53,0,0,0,23,High,5,0,0,0,1,0,0,0,0
2/18/14,Tuesday,3141,1,0,3,54,0,0,0,24,High,5,1,0,0,0,0,1,0,0
2/19/14,Wednesday,3068,1,0,3,55,0,0,0,20,High,5,1,0,0,0,0,0,1,0
2/20/14,Thursday,2716,1,0,3,56,0,0,0,6,Medium,3,1,0,0,0,0,0,0,1
2/21/14,Friday,4315,1,0,3,57,0,0,0,0,None,0,0,1,0,0,0,0,0,0
2/22/14,Saturday,5990,1,0,3,58,0,0,0,2,Low,1,0,0,1,0,0,0,0,0
2/23/14,Sunday,5452,1,0,3,59,0,0,0,5,MediumLow,2,0,0,0,1,0,0,0,0
2/24/14,Monday,1125,1,0,3,60,0,0,0,0,None,0,1,0,0,0,1,0,0,0
2/25/14,Tuesday,927,1,0,2,61,0,0,0,0,None,0,1,0,0,0,0,1,0,0
2/26/14,Wednesday,1159,1,0,3,62,0,0,0,0,None,0,1,0,0,0,0,0,1,0
2/27/14,Thursday,867,1,0,2,63,0,0,0,0,None,0,1,0,0,0,0,0,0,1
2/28/14,Friday,1579,1,0,3,64,0,0,0,0,None,0,0,1,0,0,0,0,0,0
3/1/14,Saturday,4121,1,0,3,65,0,0,0,0,None,0,0,0,1,0,0,0,0,0
3/2/14,Sunday,3950,1,0,3,66,0,0,0,2,Low,1,0,0,0,1,0,0,0,0
3/3/14,Monday,862,1,0,2,67,0,0,0,4,MediumLow,2,1,0,0,0,1,0,0,0
3/4/14,Tuesday,752,1,0,2,68,0,0,0,3,Low,1,1,0,0,0,0,1,0,0
3/5/14,Wednesday,284,1,0,1,69,0,0,0,1,Low,1,1,0,0,0,0,0,1,0
3/6/14,Thursday,497,1,0,1,70,0,0,0,5,MediumLow,2,1,0,0,0,0,0,0,1
3/7/14,Friday,2157,1,0,3,71,0,0,0,4,MediumLow,2,0,1,0,0,0,0,0,0
3/8/14,Saturday,2464,1,0,3,72,0,0,0,0,None,0,0,0,1,0,0,0,0,0
3/9/14,Sunday,1400,1,0,3,73,0,0,0,1,Low,1,0,0,0,1,0,0,0,0
3/10/14,Monday,556,1,0,2,74,0,0,0,2,Low,1,1,0,0,0,1,0,0,0
3/11/14,Tuesday,774,1,0,2,75,0,0,0,7,Medium,3,1,0,0,0,0,1,0,0
3/12/14,Wednesday,1119,1,0,3,76,0,0,0,0,None,0,1,0,0,0,0,0,1,0
3/13/14,Thursday,763,1,0,2,77,0,0,0,0,None,0,1,0,0,0,0,0,0,1
3/14/14,Friday,1393,1,0,3,78,0,0,0,2,Low,1,0,1,0,0,0,0,0,0
3/15/14,Saturday,2616,1,0,3,79,0,0,0,2,Low,1,0,0,1,0,0,0,0,0
3/16/14,Sunday,1841,1,0,3,80,0,0,0,2,Low,1,0,0,0,1,0,0,0,0
3/17/14,Monday,1068,1,0,3,81,1,1,0,13,High,5,1,0,0,0,1,0,0,0
3/18/14,Tuesday,997,1,0,2,82,1,1,0,0,None,0,1,0,0,0,0,1,0,0
3/19/14,Wednesday,627,1,0,2,83,1,1,0,0,None,0,1,0,0,0,0,0,1,0
3/20/14,Thursday,824,1,0,2,84,1,1,0,3,Low,1,1,0,0,0,0,0,0,1
3/21/14,Friday,1831,1,0,3,85,1,1,0,2,Low,1,0,1,0,0,0,0,0,0
3/22/14,Saturday,3783,1,0,3,86,1,1,0,0,None,0,0,0,1,0,0,0,0,0
3/23/14,Sunday,3964,1,0,3,87,1,1,0,1,Low,1,0,0,0,1,0,0,0,0
3/24/14,Monday,912,1,0,2,88,1,1,0,0,None,0,1,0,0,0,1,0,0,0
3/25/14,Tuesday,320,1,0,1,89,1,1,0,0,None,0,1,0,0,0,0,1,0,0
3/26/14,Wednesday,525,1,0,2,90,1,1,0,5,MediumLow,2,1,0,0,0,0,0,1,0
3/27/14,Thursday,853,1,0,2,91,1,1,0,3,Low,1,1,0,0,0,0,0,0,1
3/28/14,Friday,1085,1,0,3,92,1,1,0,4,MediumLow,2,0,1,0,0,0,0,0,0
3/29/14,Saturday,2959,1,0,3,93,1,1,0,3,Low,1,0,0,1,0,0,0,0,0
3/30/14,Sunday,3121,1,0,3,94,1,1,0,5,MediumLow,2,0,0,0,1,0,0,0,0
3/31/14,Monday,642,1,0,2,95,0,0,0,1,Low,1,1,0,0,0,1,0,0,0
4/1/14,Saturday,644,1,0,2,96,0,0,0,0,None,0,0,0,1,0,0,0,0,0
4/2/14,Sunday,1088,1,0,3,97,0,0,0,0,None,0,0,0,0,1,0,0,0,0
4/3/14,Monday,615,1,0,2,98,0,0,0,0,None,0,1,0,0,0,1,0,0,0
4/4/14,Tuesday,912,1,0,2,99,0,0,0,5,MediumLow,2,1,0,0,0,0,1,0,0
4/5/14,Wednesday,2246,1,0,3,100,0,0,0,1,Low,1,1,0,0,0,0,0,1,0
4/6/14,Thursday,1661,1,0,3,101,0,0,0,3,Low,1,1,0,0,0,0,0,0,1
4/7/14,Friday,951,1,0,2,102,0,0,0,0,None,0,0,1,0,0,0,0,0,0
4/8/14,Saturday,430,1,0,1,103,0,0,0,1,Low,1,0,0,1,0,0,0,0,0
4/9/14,Sunday,643,1,0,2,104,0,0,0,1,Low,1,0,0,0,1,0,0,0,0
4/10/14,Monday,885,1,0,2,105,0,0,0,0,None,0,1,0,0,0,1,0,0,0
4/11/14,Tuesday,952,1,0,2,106,0,0,0,0,None,0,1,0,0,0,0,1,0,0
4/12/14,Wednesday,2154,1,0,3,107,0,0,0,0,None,0,1,0,0,0,0,0,1,0
4/13/14,Thursday,2558,1,0,3,108,0,0,0,0,None,0,1,0,0,0,0,0,0,1
4/14/14,Friday,665,1,0,2,109,0,0,0,0,None,0,0,1,0,0,0,0,0,0
4/15/14,Saturday,342,1,0,1,110,0,0,0,0,None,0,0,0,1,0,0,0,0,0
4/16/14,Sunday,321,1,0,1,111,0,0,0,2,Low,1,0,0,0,1,0,0,0,0
4/17/14,Monday,300,1,0,1,112,0,0,0,2,Low,1,1,0,0,0,1,0,0,0
4/18/14,Tuesday,1196,1,0,3,113,0,0,0,3,Low,1,1,0,0,0,0,1,0,0
4/19/14,Wednesday,1634,1,0,3,114,0,0,0,0,None,0,1,0,0,0,0,0,1,0
4/20/14,Thursday,1636,1,0,3,115,0,0,0,3,Low,1,1,0,0,0,0,0,0,1
4/26/14,Saturday,1013,1,0,3,116,0,0,0,1,Low,1,0,0,1,0,0,0,0,0
4/27/14,Sunday,863,1,0,2,117,0,0,0,5,MediumLow,2,0,0,0,1,0,0,0,0
11/21/15,Saturday,1285,2,0,3,34,0,0,0,0,None,0,0,0,1,0,0,0,0,0
11/22/15,Sunday,944,2,0,2,33,0,0,0,0,None,0,0,0,0,1,0,0,0,0
11/23/15,Monday,182,2,0,1,32,0,0,0,0,None,0,1,0,0,0,1,0,0,0
11/24/15,Tuesday,269,2,0,1,31,0,0,0,4,MediumLow,2,1,0,0,0,0,1,0,0
11/25/15,Wednesday,743,2,0,2,30,0,0,0,2,Low,1,1,0,0,0,0,0,1,0
11/26/15,Thursday,883,2,0,2,29,0,0,1,0,None,0,1,0,0,0,0,0,0,1
11/27/15,Friday,2173,2,0,3,28,0,0,1,0,None,0,0,1,0,0,0,0,0,0
11/28/15,Saturday,2394,2,0,3,27,0,0,0,0,None,0,0,0,1,0,0,0,0,0
11/29/15,Sunday,1130,2,0,3,26,0,0,0,0,None,0,0,0,0,1,0,0,0,0
11/30/15,Monday,172,2,0,1,25,0,0,0,0,None,0,1,0,0,0,1,0,0,0
12/1/15,Tuesday,88,2,0,1,24,0,0,0,0,None,0,1,0,0,0,0,1,0,0
12/2/15,Wednesday,194,2,0,1,23,0,0,0,3,Low,1,1,0,0,0,0,0,1,0
12/3/15,Thursday,0,2,0,1,22,0,0,0,3,Low,1,1,0,0,0,0,0,0,1
12/4/15,Friday,567,2,0,2,21,0,0,0,5,MediumLow,2,0,1,0,0,0,0,0,0
12/5/15,Saturday,1769,2,0,3,20,0,0,0,1,Low,1,0,0,1,0,0,0,0,0
12/6/15,Sunday,3211,2,0,3,19,0,0,0,17,High,5,0,0,0,1,0,0,0,0
12/7/15,Monday,193,2,0,1,18,0,0,0,6,Medium,3,1,0,0,0,1,0,0,0
12/8/15,Tuesday,66,2,0,1,17,0,0,0,7,Medium,3,1,0,0,0,0,1,0,0
12/9/15,Wednesday,101,2,0,1,16,0,0,0,1,Low,1,1,0,0,0,0,0,1,0
12/10/15,Thursday,319,2,0,1,15,0,0,0,5,MediumLow,2,1,0,0,0,0,0,0,1
12/11/15,Friday,1412,2,0,3,14,0,0,0,7,Medium,3,0,1,0,0,0,0,0,0
12/12/15,Saturday,3636,2,0,3,13,0,0,0,1,Low,1,0,0,1,0,0,0,0,0
12/13/15,Sunday,5383,2,0,3,12,0,0,0,13,High,5,0,0,0,1,0,0,0,0
12/14/15,Monday,1331,2,0,3,11,0,0,0,5,MediumLow,2,1,0,0,0,1,0,0,0
12/15/15,Tuesday,931,2,0,2,10,0,0,0,0,None,0,1,0,0,0,0,1,0,0
12/16/15,Wednesday,880,2,0,2,9,0,0,0,3,Low,1,1,0,0,0,0,0,1,0
12/17/15,Thursday,1335,2,0,3,8,0,0,0,7,Medium,3,1,0,0,0,0,0,0,1
12/18/15,Friday,3019,2,0,3,7,0,0,0,17,High,5,0,1,0,0,0,0,0,0
12/19/15,Saturday,5395,2,1,3,6,0,1,0,5,MediumLow,2,0,0,1,0,0,0,0,0
12/20/15,Sunday,4519,2,1,3,5,0,1,0,7,Medium,3,0,0,0,1,0,0,0,0
12/21/15,Monday,3203,2,1,3,4,0,1,0,10,MediumHigh,4,1,0,0,0,1,0,0,0
12/22/15,Tuesday,4229,2,1,3,3,0,1,0,21,High,5,1,0,0,0,0,1,0,0
12/23/15,Wednesday,4827,2,1,3,2,0,1,0,17,High,5,1,0,0,0,0,0,1,0
12/24/15,Thursday,4435,2,1,3,1,0,1,0,9,MediumHigh,4,1,0,0,0,0,0,0,1
12/25/15,Friday,3661,2,1,3,0,0,1,0,0,None,0,0,1,0,0,0,0,0,0
12/26/15,Saturday,5658,2,1,3,1,0,1,0,0,None,0,0,0,1,0,0,0,0,0
12/27/15,Sunday,5187,2,1,3,2,0,1,0,1,Low,1,0,0,0,1,0,0,0,0
12/28/15,Monday,5478,2,1,3,3,0,1,0,1,Low,1,1,0,0,0,1,0,0,0
12/29/15,Tuesday,5400,2,1,3,4,0,1,0,0,None,0,1,0,0,0,0,1,0,0
12/30/15,Wednesday,6910,2,1,3,5,0,1,0,0,None,0,1,0,0,0,0,0,1,0
12/31/15,Thursday,5844,2,1,3,6,0,1,0,0,None,0,1,0,0,0,0,0,0,1
1/1/16,Friday,6488,2,1,3,7,0,1,1,0,None,0,0,1,0,0,0,0,0,0
1/2/16,Saturday,7090,2,1,3,8,0,1,0,0,None,0,0,0,1,0,0,0,0,0
1/3/16,Sunday,3264,2,1,3,9,0,1,0,3,Low,1,0,0,0,1,0,0,0,0
1/4/16,Monday,1172,2,1,3,10,0,1,0,9,MediumHigh,4,1,0,0,0,1,0,0,0
1/5/16,Tuesday,999,2,1,2,11,0,1,0,1,Low,1,1,0,0,0,0,1,0,0
1/6/16,Wednesday,1168,2,1,3,12,0,1,0,1,Low,1,1,0,0,0,0,0,1,0
1/7/16,Thursday,1119,2,1,3,13,0,1,0,0,None,0,1,0,0,0,0,0,0,1
1/8/16,Friday,1911,2,1,3,14,0,1,0,0,None,0,0,1,0,0,0,0,0,0
1/9/16,Saturday,6769,2,1,3,15,0,1,0,0,None,0,0,0,1,0,0,0,0,0
1/10/16,Sunday,3937,2,1,3,16,0,1,0,0,None,0,0,0,0,1,0,0,0,0
1/11/16,Monday,643,2,0,2,17,0,0,0,0,None,0,1,0,0,0,1,0,0,0
1/12/16,Tuesday,568,2,0,2,18,0,0,0,7,Medium,3,1,0,0,0,0,1,0,0
1/13/16,Wednesday,1542,2,0,3,19,0,0,0,8,MediumHigh,4,1,0,0,0,0,0,1,0
1/14/16,Thursday,1288,2,0,3,20,0,0,0,6,Medium,3,1,0,0,0,0,0,0,1
1/15/16,Friday,2549,2,0,3,21,0,0,0,0,None,0,0,1,0,0,0,0,0,0
1/16/16,Saturday,7140,2,0,3,22,0,0,0,5,MediumLow,2,0,0,1,0,0,0,0,0
1/17/16,Sunday,5257,2,0,3,23,0,0,0,5,MediumLow,2,0,0,0,1,0,0,0,0
1/18/16,Monday,6106,2,0,3,24,0,0,1,0,None,0,1,0,0,0,1,0,0,0
1/19/16,Tuesday,760,2,0,2,25,0,0,0,1,Low,1,1,0,0,0,0,1,0,0
1/20/16,Wednesday,1094,2,0,3,26,0,0,0,8,MediumHigh,4,1,0,0,0,0,0,1,0
1/21/16,Thursday,190,2,0,1,27,0,0,0,10,MediumHigh,4,1,0,0,0,0,0,0,1
1/22/16,Friday,1575,2,0,3,28,0,0,0,2,Low,1,0,1,0,0,0,0,0,0
1/23/16,Saturday,6201,2,0,3,29,0,0,0,1,Low,1,0,0,1,0,0,0,0,0
1/24/16,Sunday,5515,2,0,3,30,0,0,0,4,MediumLow,2,0,0,0,1,0,0,0,0
1/25/16,Monday,1390,2,0,3,31,0,0,0,0,None,0,1,0,0,0,1,0,0,0
1/26/16,Tuesday,308,2,0,1,32,0,0,0,0,None,0,1,0,0,0,0,1,0,0
1/27/16,Wednesday,243,2,0,1,33,0,0,0,0,None,0,1,0,0,0,0,0,1,0
1/28/16,Thursday,149,2,0,1,34,0,0,0,0,None,0,1,0,0,0,0,0,0,1
1/29/16,Friday,1878,2,0,3,35,0,0,0,3,Low,1,0,1,0,0,0,0,0,0
1/30/16,Saturday,6882,2,0,3,36,0,0,0,9,MediumHigh,4,0,0,1,0,0,0,0,0
1/31/16,Sunday,5683,2,0,3,37,0,0,0,0,None,0,0,0,0,1,0,0,0,0
2/1/16,Monday,971,2,0,2,38,0,0,0,0,None,0,1,0,0,0,1,0,0,0
2/2/16,Tuesday,905,2,0,2,39,0,0,0,0,None,0,1,0,0,0,0,1,0,0
2/3/16,Wednesday,700,2,0,2,40,0,0,0,0,None,0,1,0,0,0,0,0,1,0
